date,total_admissions,emergency_visit_count
2020-01-01,50,31
2020-01-02,42,21
2020-01-03,34,25
2020-01-04,46,32
2020-01-05,44,32
2020-01-06,48,21
2020-01-07,51,27
2020-01-08,53,15
2020-01-09,47,19
2020-01-10,67,30
2020-01-11,44,22
2020-01-12,48,30
2020-01-13,33,25
2020-01-14,44,28
2020-01-15,43,25
2020-01-16,47,25
2020-01-17,41,29
2020-01-18,51,24
2020-01-19,49,24
2020-01-20,40,23
2020-01-21,54,19
2020-01-22,51,23
2020-01-23,37,22
2020-01-24,48,17
2020-01-25,49,24
2020-01-26,43,22
2020-01-27,51,24
2020-01-28,41,22
2020-01-29,46,26
2020-01-30,39,27
2020-01-31,48,22
2020-02-01,51,29
2020-02-02,53,23
2020-02-03,43,25
2020-02-04,57,26
2020-02-05,55,28
2020-02-06,54,22
2020-02-07,50,19
2020-02-08,42,27
2020-02-09,51,30
2020-02-10,52,14
2020-02-11,48,18
2020-02-12,48,28
2020-02-13,58,22
2020-02-14,58,18
2020-02-15,53,21
2020-02-16,57,27
2020-02-17,47,27
2020-02-18,38,23
2020-02-19,54,19
2020-02-20,47,24
2020-02-21,47,25
2020-02-22,50,28
2020-02-23,35,32
2020-02-24,41,29
2020-02-25,49,26
2020-02-26,60,23
2020-02-27,48,34
2020-02-28,54,20
2020-02-29,46,35
2020-03-01,52,26
2020-03-02,50,21
2020-03-03,65,28
2020-03-04,60,20
2020-03-05,45,28
2020-03-06,42,21
2020-03-07,60,25
2020-03-08,66,25
2020-03-09,50,22
2020-03-10,43,11
2020-03-11,44,25
2020-03-12,57,26
2020-03-13,48,23
2020-03-14,59,23
2020-03-15,51,32
2020-03-16,55,22
2020-03-17,50,30
2020-03-18,44,24
2020-03-19,55,25
2020-03-20,36,13
2020-03-21,49,25
2020-03-22,50,25
2020-03-23,48,22
2020-03-24,38,24
2020-03-25,56,16
2020-03-26,42,22
2020-03-27,46,22
2020-03-28,46,27
2020-03-29,46,28
2020-03-30,42,29
2020-03-31,56,20
2020-04-01,43,23
2020-04-02,37,33
2020-04-03,45,16
2020-04-04,41,21
2020-04-05,45,23
2020-04-06,46,28
2020-04-07,59,22
2020-04-08,37,20
2020-04-09,48,27
2020-04-10,33,35
2020-04-11,37,25
2020-04-12,51,19
2020-04-13,47,25
2020-04-14,59,25
2020-04-15,50,24
2020-04-16,41,20
2020-04-17,40,27
2020-04-18,50,22
2020-04-19,42,31
2020-04-20,34,29
2020-04-21,41,28
2020-04-22,48,27
2020-04-23,41,20
2020-04-24,59,18
2020-04-25,30,28
2020-04-26,45,23
2020-04-27,54,24
2020-04-28,44,25
2020-04-29,46,22
2020-04-30,40,21
2020-05-01,51,37
2020-05-02,44,22
2020-05-03,45,20
2020-05-04,51,16
2020-05-05,59,19
2020-05-06,55,22
2020-05-07,44,28
2020-05-08,51,28
2020-05-09,32,31
2020-05-10,44,26
2020-05-11,60,20
2020-05-12,50,19
2020-05-13,31,17
2020-05-14,43,21
2020-05-15,48,29
2020-05-16,47,27
2020-05-17,54,17
2020-05-18,38,30
2020-05-19,47,19
2020-05-20,55,20
2020-05-21,36,26
2020-05-22,46,30
2020-05-23,38,23
2020-05-24,52,20
2020-05-25,53,26
2020-05-26,38,30
2020-05-27,45,34
2020-05-28,44,26
2020-05-29,47,22
2020-05-30,49,24
2020-05-31,49,25
2020-06-01,43,27
2020-06-02,72,20
2020-06-03,41,26
2020-06-04,54,29
2020-06-05,52,18
2020-06-06,53,21
2020-06-07,49,19
2020-06-08,61,26
2020-06-09,42,24
2020-06-10,43,28
2020-06-11,54,24
2020-06-12,44,34
2020-06-13,39,32
2020-06-14,50,23
2020-06-15,40,23
2020-06-16,61,24
2020-06-17,47,24
2020-06-18,45,19
2020-06-19,54,19
2020-06-20,42,24
2020-06-21,49,28
2020-06-22,52,26
2020-06-23,41,19
2020-06-24,50,23
2020-06-25,47,24
2020-06-26,63,22
2020-06-27,60,23
2020-06-28,56,18
2020-06-29,58,15
2020-06-30,69,24
2020-07-01,54,21
2020-07-02,52,18
2020-07-03,56,20
2020-07-04,51,24
2020-07-05,41,24
2020-07-06,59,18
2020-07-07,54,28
2020-07-08,46,19
2020-07-09,41,32
2020-07-10,55,23
2020-07-11,45,22
2020-07-12,59,35
2020-07-13,53,22
2020-07-14,47,28
2020-07-15,46,29
2020-07-16,42,17
2020-07-17,50,18
2020-07-18,56,28
2020-07-19,44,25
2020-07-20,55,25
2020-07-21,50,27
2020-07-22,47,22
2020-07-23,46,24
2020-07-24,41,32
2020-07-25,58,18
2020-07-26,43,30
2020-07-27,50,28
2020-07-28,41,21
2020-07-29,53,26
2020-07-30,61,31
2020-07-31,42,22
2020-08-01,63,27
2020-08-02,44,18
2020-08-03,51,22
2020-08-04,45,24
2020-08-05,45,24
2020-08-06,42,19
2020-08-07,53,23
2020-08-08,54,23
2020-08-09,50,29
2020-08-10,40,25
2020-08-11,46,21
2020-08-12,50,23
2020-08-13,50,24
2020-08-14,40,20
2020-08-15,43,22
2020-08-16,42,29
2020-08-17,47,25
2020-08-18,55,22
2020-08-19,53,16
2020-08-20,44,23
2020-08-21,43,15
2020-08-22,59,26
2020-08-23,50,19
2020-08-24,51,25
2020-08-25,41,18
2020-08-26,59,24
2020-08-27,51,21
2020-08-28,42,34
2020-08-29,55,24
2020-08-30,49,25
2020-08-31,45,25
2020-09-01,51,31
2020-09-02,35,28
2020-09-03,41,24
2020-09-04,50,24
2020-09-05,53,31
2020-09-06,42,33
2020-09-07,55,26
2020-09-08,54,18
2020-09-09,59,23
2020-09-10,46,27
2020-09-11,53,26
2020-09-12,60,19
2020-09-13,59,23
2020-09-14,31,20
2020-09-15,44,29
2020-09-16,39,25
2020-09-17,50,31
2020-09-18,46,24
2020-09-19,45,34
2020-09-20,50,18
2020-09-21,39,22
2020-09-22,53,30
2020-09-23,50,24
2020-09-24,42,33
2020-09-25,43,23
2020-09-26,47,27
2020-09-27,41,17
2020-09-28,46,22
2020-09-29,53,25
2020-09-30,32,26
2020-10-01,44,20
2020-10-02,48,23
2020-10-03,56,27
2020-10-04,50,18
2020-10-05,52,15
2020-10-06,56,21
2020-10-07,42,19
2020-10-08,50,26
2020-10-09,51,24
2020-10-10,41,23
2020-10-11,48,26
2020-10-12,58,25
2020-10-13,51,22
2020-10-14,38,31
2020-10-15,49,22
2020-10-16,50,17
2020-10-17,43,23
2020-10-18,44,31
2020-10-19,54,23
2020-10-20,38,23
2020-10-21,49,26
2020-10-22,51,18
2020-10-23,64,38
2020-10-24,53,21
2020-10-25,58,23
2020-10-26,64,29
2020-10-27,61,25
2020-10-28,58,23
2020-10-29,50,20
2020-10-30,47,13
2020-10-31,47,19
2020-11-01,43,24
2020-11-02,42,13
2020-11-03,39,23
2020-11-04,43,28
2020-11-05,49,17
2020-11-06,60,28
2020-11-07,44,38
2020-11-08,42,18
2020-11-09,54,13
2020-11-10,47,20
2020-11-11,48,20
2020-11-12,48,20
2020-11-13,53,25
2020-11-14,55,25
2020-11-15,46,24
2020-11-16,36,24
2020-11-17,63,26
2020-11-18,50,28
2020-11-19,62,26
2020-11-20,42,21
2020-11-21,60,26
2020-11-22,57,18
2020-11-23,45,33
2020-11-24,49,24
2020-11-25,51,23
2020-11-26,46,19
2020-11-27,44,22
2020-11-28,44,31
2020-11-29,38,25
2020-11-30,50,17
2020-12-01,51,25
2020-12-02,51,27
2020-12-03,52,27
2020-12-04,46,26
2020-12-05,54,31
2020-12-06,52,21
2020-12-07,50,33
2020-12-08,53,29
2020-12-09,49,25
2020-12-10,55,17
2020-12-11,57,12
2020-12-12,47,13
2020-12-13,44,22
2020-12-14,55,34
2020-12-15,54,25
2020-12-16,43,26
2020-12-17,52,31
2020-12-18,49,22
2020-12-19,50,23
2020-12-20,54,28
2020-12-21,41,21
2020-12-22,42,27
2020-12-23,54,29
2020-12-24,44,24
2020-12-25,52,20
2020-12-26,49,20
2020-12-27,54,29
2020-12-28,36,20
2020-12-29,48,36
2020-12-30,56,26
2020-12-31,42,27
2021-01-01,56,26
2021-01-02,55,20
2021-01-03,37,26
2021-01-04,45,28
2021-01-05,47,29
2021-01-06,41,27
2021-01-07,56,33
2021-01-08,41,23
2021-01-09,54,23
2021-01-10,46,21
2021-01-11,38,22
2021-01-12,47,31
2021-01-13,45,24
2021-01-14,48,22
2021-01-15,60,23
2021-01-16,54,28
2021-01-17,53,25
2021-01-18,51,21
2021-01-19,52,17
2021-01-20,33,24
2021-01-21,45,21
2021-01-22,40,26
2021-01-23,49,26
2021-01-24,47,21
2021-01-25,39,24
2021-01-26,36,33
2021-01-27,43,26
2021-01-28,46,29
2021-01-29,28,18
2021-01-30,47,25
2021-01-31,43,32
2021-02-01,46,24
2021-02-02,47,23
2021-02-03,53,26
2021-02-04,55,18
2021-02-05,42,26
2021-02-06,44,34
2021-02-07,46,26
2021-02-08,59,21
2021-02-09,48,26
2021-02-10,60,23
2021-02-11,47,23
2021-02-12,43,18
2021-02-13,51,20
2021-02-14,58,16
2021-02-15,49,24
2021-02-16,44,28
2021-02-17,54,23
2021-02-18,50,29
2021-02-19,49,28
2021-02-20,45,34
2021-02-21,47,28
2021-02-22,54,26
2021-02-23,49,26
2021-02-24,33,33
2021-02-25,49,23
2021-02-26,45,27
2021-02-27,51,22
2021-02-28,47,18
2021-03-01,52,20
2021-03-02,30,29
2021-03-03,52,20
2021-03-04,54,32
2021-03-05,46,27
2021-03-06,51,24
2021-03-07,48,18
2021-03-08,54,25
2021-03-09,41,20
2021-03-10,45,26
2021-03-11,46,18
2021-03-12,60,22
2021-03-13,28,25
2021-03-14,31,13
2021-03-15,48,24
2021-03-16,45,22
2021-03-17,46,22
2021-03-18,51,29
2021-03-19,58,38
2021-03-20,43,18
2021-03-21,48,29
2021-03-22,39,29
2021-03-23,59,24
2021-03-24,40,21
2021-03-25,45,27
2021-03-26,45,19
2021-03-27,53,29
2021-03-28,66,30
2021-03-29,45,21
2021-03-30,60,26
2021-03-31,52,35
2021-04-01,46,23
2021-04-02,43,28
2021-04-03,51,23
2021-04-04,37,30
2021-04-05,53,16
2021-04-06,53,22
2021-04-07,42,21
2021-04-08,50,17
2021-04-09,55,29
2021-04-10,45,23
2021-04-11,44,33
2021-04-12,50,23
2021-04-13,51,32
2021-04-14,39,20
2021-04-15,52,25
2021-04-16,57,26
2021-04-17,45,21
2021-04-18,42,22
2021-04-19,50,14
2021-04-20,48,27
2021-04-21,49,24
2021-04-22,45,26
2021-04-23,31,22
2021-04-24,44,23
2021-04-25,45,21
2021-04-26,56,29
2021-04-27,60,36
2021-04-28,45,29
2021-04-29,53,19
2021-04-30,46,21
2021-05-01,46,19
2021-05-02,56,18
2021-05-03,45,26
2021-05-04,51,22
2021-05-05,48,20
2021-05-06,56,25
2021-05-07,49,27
2021-05-08,45,24
2021-05-09,49,23
2021-05-10,47,32
2021-05-11,60,22
2021-05-12,43,36
2021-05-13,38,34
2021-05-14,40,24
2021-05-15,62,25
2021-05-16,45,21
2021-05-17,50,23
2021-05-18,40,34
2021-05-19,40,23
2021-05-20,44,19
2021-05-21,56,35
2021-05-22,59,23
2021-05-23,32,18
2021-05-24,47,24
2021-05-25,61,21
2021-05-26,43,13
2021-05-27,41,29
2021-05-28,42,23
2021-05-29,33,17
2021-05-30,27,23
2021-05-31,49,27
2021-06-01,49,23
2021-06-02,49,26
2021-06-03,41,31
2021-06-04,41,20
2021-06-05,38,23
2021-06-06,34,27
2021-06-07,41,24
2021-06-08,44,24
2021-06-09,62,22
2021-06-10,49,20
2021-06-11,53,36
2021-06-12,48,27
2021-06-13,46,22
2021-06-14,47,23
2021-06-15,46,22
2021-06-16,38,35
2021-06-17,42,23
2021-06-18,45,29
2021-06-19,53,15
2021-06-20,56,24
2021-06-21,51,22
2021-06-22,48,24
2021-06-23,49,33
2021-06-24,58,29
2021-06-25,56,16
2021-06-26,46,26
2021-06-27,45,30
2021-06-28,45,22
2021-06-29,47,33
2021-06-30,44,25
2021-07-01,59,25
2021-07-02,48,26
2021-07-03,48,31
2021-07-04,57,28
2021-07-05,54,20
2021-07-06,48,20
2021-07-07,47,19
2021-07-08,43,16
2021-07-09,51,22
2021-07-10,35,20
2021-07-11,55,19
2021-07-12,54,28
2021-07-13,46,20
2021-07-14,45,21
2021-07-15,57,18
2021-07-16,48,22
2021-07-17,46,13
2021-07-18,53,18
2021-07-19,45,19
2021-07-20,36,16
2021-07-21,51,28
2021-07-22,42,21
2021-07-23,54,32
2021-07-24,35,21
2021-07-25,61,18
2021-07-26,53,31
2021-07-27,44,21
2021-07-28,42,20
2021-07-29,53,21
2021-07-30,49,15
2021-07-31,52,25
2021-08-01,30,16
2021-08-02,41,31
2021-08-03,51,19
2021-08-04,46,15
2021-08-05,48,24
2021-08-06,47,24
2021-08-07,43,27
2021-08-08,52,26
2021-08-09,55,30
2021-08-10,57,25
2021-08-11,57,19
2021-08-12,59,21
2021-08-13,46,22
2021-08-14,53,21
2021-08-15,50,24
2021-08-16,65,32
2021-08-17,51,23
2021-08-18,46,29
2021-08-19,41,25
2021-08-20,50,32
2021-08-21,48,23
2021-08-22,39,23
2021-08-23,47,19
2021-08-24,38,24
2021-08-25,43,20
2021-08-26,64,26
2021-08-27,59,32
2021-08-28,40,26
2021-08-29,33,31
2021-08-30,44,22
2021-08-31,41,24
2021-09-01,43,25
2021-09-02,43,26
2021-09-03,41,16
2021-09-04,40,22
2021-09-05,53,25
2021-09-06,55,31
2021-09-07,47,34
2021-09-08,48,26
2021-09-09,48,22
2021-09-10,56,20
2021-09-11,45,24
2021-09-12,48,17
2021-09-13,44,22
2021-09-14,57,22
2021-09-15,51,24
2021-09-16,33,29
2021-09-17,51,32
2021-09-18,54,26
2021-09-19,37,22
2021-09-20,53,23
2021-09-21,53,29
2021-09-22,40,33
2021-09-23,49,34
2021-09-24,43,20
2021-09-25,44,26
2021-09-26,54,26
2021-09-27,50,26
2021-09-28,65,28
2021-09-29,41,23
2021-09-30,42,21
2021-10-01,52,21
2021-10-02,53,19
2021-10-03,43,21
2021-10-04,59,25
2021-10-05,42,27
2021-10-06,48,25
2021-10-07,47,31
2021-10-08,53,26
2021-10-09,46,27
2021-10-10,40,27
2021-10-11,48,22
2021-10-12,58,33
2021-10-13,39,27
2021-10-14,53,18
2021-10-15,61,20
2021-10-16,41,31
2021-10-17,43,19
2021-10-18,58,24
2021-10-19,62,21
2021-10-20,51,25
2021-10-21,49,19
2021-10-22,44,26
2021-10-23,48,16
2021-10-24,44,28
2021-10-25,50,27
2021-10-26,40,21
2021-10-27,56,25
2021-10-28,46,19
2021-10-29,52,29
2021-10-30,48,33
2021-10-31,44,21
2021-11-01,54,24
2021-11-02,63,24
2021-11-03,51,25
2021-11-04,48,13
2021-11-05,52,28
2021-11-06,61,25
2021-11-07,48,19
2021-11-08,40,33
2021-11-09,53,15
2021-11-10,37,25
2021-11-11,40,15
2021-11-12,43,23
2021-11-13,55,27
2021-11-14,37,24
2021-11-15,52,30
2021-11-16,49,32
2021-11-17,45,28
2021-11-18,50,21
2021-11-19,47,28
2021-11-20,39,26
2021-11-21,44,32
2021-11-22,34,18
2021-11-23,52,26
2021-11-24,44,31
2021-11-25,44,22
2021-11-26,45,24
2021-11-27,45,19
2021-11-28,49,27
2021-11-29,52,26
2021-11-30,53,25
2021-12-01,32,27
2021-12-02,44,21
2021-12-03,56,20
2021-12-04,43,23
2021-12-05,47,32
2021-12-06,55,10
2021-12-07,49,28
2021-12-08,55,16
2021-12-09,48,21
2021-12-10,48,26
2021-12-11,47,17
2021-12-12,45,29
2021-12-13,46,19
2021-12-14,43,28
2021-12-15,56,28
2021-12-16,48,22
2021-12-17,40,28
2021-12-18,38,28
2021-12-19,56,24
2021-12-20,49,24
2021-12-21,50,22
2021-12-22,43,28
2021-12-23,56,26
2021-12-24,54,23
2021-12-25,47,18
2021-12-26,66,20
2021-12-27,56,26
2021-12-28,44,18
2021-12-29,47,20
2021-12-30,49,24
2021-12-31,51,24
2022-01-01,45,22
2022-01-02,48,20
2022-01-03,52,19
2022-01-04,45,22
2022-01-05,52,23
2022-01-06,49,24
2022-01-07,41,29
2022-01-08,43,29
2022-01-09,42,24
2022-01-10,49,16
2022-01-11,53,26
2022-01-12,46,39
2022-01-13,51,27
2022-01-14,51,21
2022-01-15,51,25
2022-01-16,58,21
2022-01-17,46,23
2022-01-18,46,23
2022-01-19,37,21
2022-01-20,48,27
2022-01-21,43,24
2022-01-22,51,30
2022-01-23,57,18
2022-01-24,47,22
2022-01-25,53,24
2022-01-26,52,22
2022-01-27,44,25
2022-01-28,57,18
2022-01-29,42,28
2022-01-30,66,22
2022-01-31,62,22
2022-02-01,39,37
2022-02-02,46,27
2022-02-03,44,21
2022-02-04,55,20
2022-02-05,42,22
2022-02-06,46,22
2022-02-07,48,19
2022-02-08,49,24
2022-02-09,46,23
2022-02-10,43,25
2022-02-11,41,31
2022-02-12,42,29
2022-02-13,59,24
2022-02-14,55,24
2022-02-15,33,23
2022-02-16,53,24
2022-02-17,43,26
2022-02-18,51,13
2022-02-19,51,29
2022-02-20,56,18
2022-02-21,53,21
2022-02-22,52,29
2022-02-23,51,26
2022-02-24,43,17
2022-02-25,50,12
2022-02-26,36,29
2022-02-27,39,16
2022-02-28,47,20
2022-03-01,38,16
2022-03-02,51,28
2022-03-03,40,29
2022-03-04,36,29
2022-03-05,45,30
2022-03-06,60,25
2022-03-07,44,19
2022-03-08,35,31
2022-03-09,49,20
2022-03-10,55,18
2022-03-11,47,22
2022-03-12,47,28
2022-03-13,40,21
2022-03-14,46,29
2022-03-15,68,28
2022-03-16,41,32
2022-03-17,47,18
2022-03-18,58,31
2022-03-19,49,27
2022-03-20,51,31
2022-03-21,49,29
2022-03-22,51,26
2022-03-23,29,32
2022-03-24,34,19
2022-03-25,39,23
2022-03-26,48,29
2022-03-27,54,21
2022-03-28,60,32
2022-03-29,47,29
2022-03-30,49,22
2022-03-31,50,23
2022-04-01,50,24
2022-04-02,47,22
2022-04-03,46,16
2022-04-04,48,32
2022-04-05,52,26
2022-04-06,46,39
2022-04-07,55,24
2022-04-08,43,24
2022-04-09,54,25
2022-04-10,51,25
2022-04-11,46,22
2022-04-12,45,30
2022-04-13,46,31
2022-04-14,40,25
2022-04-15,41,26
2022-04-16,48,16
2022-04-17,51,23
2022-04-18,37,26
2022-04-19,48,28
2022-04-20,48,23
2022-04-21,40,30
2022-04-22,65,25
2022-04-23,60,29
2022-04-24,50,22
2022-04-25,63,25
2022-04-26,43,25
2022-04-27,32,25
2022-04-28,47,24
2022-04-29,43,22
2022-04-30,42,33
2022-05-01,48,35
2022-05-02,42,25
2022-05-03,51,16
2022-05-04,53,17
2022-05-05,33,30
2022-05-06,51,23
2022-05-07,46,23
2022-05-08,47,19
2022-05-09,63,25
2022-05-10,48,18
2022-05-11,53,25
2022-05-12,58,23
2022-05-13,43,25
