temp,humidity
46.1,95.1
34.1,91.1
18.1,70.2
20.1,65.5
33.6,69.0
30.8,70.4
25.5,73.3
15.7,55.8
30.1,72.3
23.2,60.9
7.7,57.6
21.2,58.7
31.9,65.1
23.8,73.3
2.3,57.9
9.0,62.5
31.1,81.8
21.0,61.9
28.1,64.7
24.8,58.3
5.8,59.7
7.6,68.8
22.1,64.5
19.9,64.7
27.2,71.1
14.4,53.3
12.6,59.3
24.2,64.2
6.9,63.0
11.2,43.0
13.1,60.6
19.9,64.8
36.4,71.5
37.9,90.3
17.6,85.0
14.1,64.6
14.1,65.6
25.9,86.4
33.4,77.2
32.0,59.6
37.5,75.8
40.4,62.4
41.6,56.7
23.6,56.3
12.5,53.0
17.4,60.2
29.4,61.7
49.3,70.2
33.3,67.2
22.1,61.8
22.1,50.1
38.4,46.1
40.9,78.8
44.0,73.3
21.7,51.1
20.1,75.4
17.4,65.5
29.3,53.3
17.5,47.8
27.4,59.9
33.2,65.2
26.1,61.3
19.6,56.6
27.7,57.8
49.1,67.3
41.9,78.3
34.8,49.6
30.0,79.9
32.2,83.2
37.1,71.5
30.0,74.9
24.8,51.2
37.9,50.8
43.7,64.6
45.3,72.8
49.4,81.1
53.6,77.5
54.0,80.1
48.1,75.9
44.8,54.6
40.2,39.9
37.3,50.1
40.4,84.2
46.5,74.9
42.3,74.7
34.8,64.0
21.6,45.9
26.2,42.3
33.7,38.8
50.3,71.7
45.4,68.4
40.7,46.8
38.3,71.4
43.3,63.0
46.7,56.2
51.4,55.5
47.5,80.9
49.0,74.5
44.8,82.3
41.5,64.5
47.0,48.3
56.8,54.8
58.9,44.3
63.9,62.1
55.0,45.3
49.3,63.7
39.7,62.8
43.6,51.4
38.0,77.3
43.8,51.5
47.8,51.3
52.4,51.2
47.5,49.1
55.5,39.1
57.5,35.9
53.0,66.9
45.3,60.4
44.5,36.6
47.2,28.9
50.5,35.7
54.2,45.2
53.9,70.2
56.0,74.1
53.7,85.4
57.7,59.4
56.2,51.6
52.2,35.9
53.5,38.0
57.2,37.8
60.6,31.8
62.5,40.0
67.8,50.6
73.7,63.2
74.0,68.2
69.3,82.4
67.5,81.4
58.9,61.4
58.0,48.0
55.9,83.3
64.2,72.8
76.5,70.4
76.8,67.6
59.7,57.8
61.5,51.5
66.1,54.1
65.3,52.5
70.4,75.1
69.6,73.1
67.4,57.9
72.5,62.7
80.1,57.4
64.6,79.5
70.2,73.5
69.3,54.1
65.5,53.9
62.7,47.6
67.7,51.6
70.0,56.1
68.5,63.2
64.5,75.3
65.4,59.3
64.9,63.2
67.3,70.0
71.7,64.1
69.1,58.3
72.2,61.5
69.9,71.2
75.1,59.5
59.8,61.6
60.8,46.1
66.1,49.0
62.2,66.5
64.5,74.5
65.2,73.4
72.5,65.4
76.2,52.8
79.0,57.3
74.2,57.6
67.8,58.8
69.7,59.4
71.9,55.5
80.3,52.1
75.4,65.9
71.7,49.3
71.2,46.7
68.5,73.6
73.3,71.1
73.2,61.6
76.3,58.5
70.8,52.1
68.3,51.8
73.5,57.2
77.9,56.9
75.4,58.1
74.4,64.3
73.1,54.3
74.5,59.5
79.9,60.8
76.0,82.1
81.3,59.8
84.4,59.7
84.9,57.6
81.0,57.6
81.8,58.0
82.3,56.3
76.0,71.0
70.2,59.5
71.1,62.2
78.4,65.8
78.2,60.2
73.9,61.7
73.8,61.3
78.4,59.2
77.9,64.5
77.4,58.6
79.7,64.7
80.1,73.7
79.3,76.1
81.5,74.9
83.2,69.0
78.6,71.1
71.3,68.5
74.3,60.4
69.6,57.4
67.7,56.3
68.5,60.9
71.2,59.5
72.6,58.7
68.7,76.3
70.0,69.5
73.9,63.1
76.7,61.9
78.8,56.9
75.0,70.8
72.5,84.4
75.4,70.2
73.9,69.6
72.2,75.9
72.3,71.0
71.3,72.5
79.9,65.5
77.0,77.6
71.0,69.0
66.0,61.4
63.5,61.5
69.6,66.6
73.9,70.3
62.4,90.4
64.6,91.7
66.8,81.4
65.7,80.9
67.5,75.9
68.8,74.8
68.7,78.3
70.1,82.7
69.5,86.7
67.0,69.9
61.2,60.0
57.8,69.0
61.0,71.1
68.7,81.8
69.2,85.5
66.0,80.7
66.3,73.9
63.7,74.0
51.4,58.8
54.5,61.8
57.4,78.7
60.9,80.6
57.3,75.7
58.3,79.5
54.7,73.1
50.1,77.1
54.9,73.4
52.5,65.9
49.0,64.4
52.0,66.8
54.1,83.8
57.3,77.2
58.3,76.1
47.1,66.7
48.7,68.1
51.5,77.8
49.5,79.2
56.7,67.2
61.1,78.1
54.8,76.8
53.0,69.3
50.0,70.5
46.9,92.9
49.4,69.8
43.7,68.7
46.0,59.9
46.7,58.6
53.5,53.5
51.0,73.4
56.9,82.3
64.7,86.3
67.1,80.1
54.6,62.0
43.6,62.4
43.8,65.7
44.5,60.6
51.4,66.1
59.9,79.0
55.3,66.0
51.6,63.3
59.1,60.3
67.4,70.3
69.1,75.5
60.7,58.8
44.4,49.4
40.5,53.9
50.6,62.4
59.9,81.4
59.1,75.5
44.3,67.6
35.4,52.0
30.9,72.2
35.7,87.8
36.8,72.4
34.8,60.1
31.0,57.8
29.1,50.1
30.7,53.0
39.3,52.7
38.5,63.4
37.5,69.7
44.2,69.3
42.0,59.9
41.8,74.1
43.2,72.2
34.7,67.8
40.4,77.0
36.1,49.9
37.3,55.8
44.9,68.5
34.8,59.3
35.7,54.0
46.2,78.8
54.9,88.2
43.2,72.5
31.5,66.3
24.7,67.1
27.8,82.5
26.5,75.9
22.9,68.6
26.0,63.9
25.9,79.8
33.6,93.3
35.3,77.8
31.6,69.6
32.3,69.0
29.4,68.8
24.1,76.9
27.2,85.3
33.9,79.1
10.7,52.6
18.2,55.4
22.4,55.7
26.3,56.3
31.3,63.1
37.4,61.9
48.7,52.5
50.1,79.4
42.7,76.3
38.9,79.9
34.1,91.3
39.6,92.6
42.9,87.6
40.4,85.1
35.5,74.5
26.4,67.4
28.7,76.3
32.9,66.1
25.9,63.3
34.7,80.5
36.7,87.2
27.9,73.3
26.0,67.9
25.2,65.8
27.7,70.9
37.8,78.6
33.4,86.6
34.9,84.9
31.6,75.2
32.9,73.5
32.2,87.7
34.3,70.2
32.2,80.0
33.8,78.5
31.4,67.6
34.9,59.5
33.9,72.3
32.1,76.6
26.7,63.6
20.0,53.0
26.9,52.7
9.1,46.5
-1.0,44.3
30.6,48.4
33.1,64.2
27.7,59.1
38.0,65.5
35.0,80.2
44.2,71.9
32.7,60.7
33.1,59.4
37.9,56.2
40.7,56.1
49.6,48.5
48.0,61.9
40.5,74.3
28.7,50.7
36.4,53.3
42.6,63.7
36.0,65.6
34.0,64.5
28.3,88.3
27.4,62.6
17.1,71.5
26.2,72.2
29.8,59.7
30.8,85.5
33.7,69.3
37.0,80.7
34.7,62.8
34.1,88.5
37.0,71.2
38.4,53.9
31.2,52.2
31.5,59.4
34.2,60.6
33.1,68.4
32.6,77.0
34.3,63.0
38.5,75.7
33.5,90.8
33.0,67.9
37.9,53.9
38.9,74.3
38.4,59.9
28.3,52.4
36.5,41.2
41.5,47.2
46.9,47.6
51.4,75.7
41.6,58.5
35.3,76.6
45.0,59.6
39.8,60.3
41.1,65.6
41.1,53.6
31.8,45.1
36.0,56.3
53.1,73.8
38.7,45.3
44.4,39.3
51.3,62.3
50.2,60.3
52.3,81.4
43.4,45.4
39.7,39.4
43.1,34.2
48.7,36.6
58.1,36.8
66.7,36.2
71.4,44.3
73.9,37.5
69.2,49.3
68.7,68.4
55.4,81.5
46.2,63.8
40.4,64.6
49.7,47.7
61.0,42.0
58.9,64.3
51.1,86.9
46.5,65.8
44.3,64.2
45.9,64.7
49.7,68.7
53.7,60.3
51.8,63.3
52.4,82.8
51.1,70.0
49.9,67.1
48.1,74.9
49.9,71.0
53.6,64.4
56.8,60.3
61.4,48.8
61.3,53.7
54.0,46.3
56.7,46.3
63.2,47.2
69.2,49.5
67.3,41.9
56.3,43.4
57.7,46.1
66.7,30.4
49.5,43.6
50.3,41.3
60.3,57.6
61.9,75.7
61.4,63.9
61.8,58.2
63.0,55.1
59.0,65.7
53.9,59.8
58.3,50.2
63.7,50.9
71.3,46.7
70.7,45.8
67.9,40.0
71.5,42.1
76.0,45.2
76.1,57.6
62.3,73.8
56.9,61.1
62.9,55.9
61.0,61.2
56.7,69.1
57.4,71.5
56.4,78.0
61.5,68.9
69.0,60.8
74.4,56.7
67.5,66.3
62.1,78.1
68.6,66.4
64.2,73.9
62.9,80.3
66.3,69.3
67.4,61.1
70.8,61.2
70.4,56.8
69.9,56.2
74.1,63.7
72.3,85.9
76.3,72.8
73.8,79.7
70.8,81.1
69.5,77.9
71.1,67.7
73.7,65.5
76.5,61.6
70.9,80.5
74.7,81.0
76.6,76.5
78.1,72.1
82.0,65.5
77.3,75.5
76.8,75.2
75.4,82.4
70.3,83.7
76.3,65.9
76.6,71.5
76.4,72.9
74.7,77.5
78.4,72.3
77.7,80.6
77.5,73.8
75.7,74.7
74.5,64.2
74.5,58.4
74.7,69.5
73.2,58.4
73.0,61.3
72.2,73.4
72.7,73.2
75.0,73.2
78.2,75.1
80.7,68.9
75.2,78.0
67.1,64.1
67.4,67.1
66.3,60.7
65.7,64.5
69.4,67.8
69.4,79.9
69.6,72.7
70.3,64.4
70.7,82.9
73.6,76.5
74.3,61.7
69.6,77.8
70.4,65.4
70.0,68.5
74.5,67.7
73.3,66.2
69.8,86.9
74.1,77.0
75.0,74.9
70.8,69.4
67.2,61.2
68.3,68.6
73.0,74.9
67.6,64.8
68.2,64.1
64.5,80.2
71.8,83.5
73.9,75.1
69.4,73.9
66.3,84.9
73.8,73.5
71.9,74.0
64.8,61.9
63.6,67.6
67.4,72.9
75.1,70.4
77.8,72.3
79.4,73.8
80.4,71.1
79.8,72.3
73.9,80.7
73.2,77.3
71.4,83.2
69.8,84.9
70.5,76.4
68.1,83.3
63.2,66.2
58.9,68.3
63.6,60.1
62.9,73.7
61.2,89.7
63.0,72.3
60.2,62.5
58.6,68.3
60.6,72.1
55.9,80.2
58.5,75.4
60.4,76.2
57.2,74.0
56.1,75.6
57.7,71.8
58.5,81.0
60.0,87.5
64.9,76.1
65.1,71.2
66.2,76.5
70.4,75.3
69.9,68.9
68.1,77.8
61.8,86.1
54.9,66.0
51.8,63.2
53.1,69.1
55.1,72.4
56.4,68.4
51.9,64.4
51.0,73.2
51.5,71.6
54.2,70.4
54.1,73.5
55.0,73.6
55.2,71.9
59.2,81.5
56.7,85.0
48.6,69.1
48.3,64.8
49.0,69.4
58.6,62.3
65.5,59.1
67.4,64.0
61.7,69.6
45.4,82.5
46.7,86.7
41.2,69.2
38.8,68.4
36.8,64.5
47.1,46.4
49.5,54.7
48.6,64.8
42.3,66.8
52.7,71.9
37.8,55.1
40.9,74.2
46.9,54.4
41.5,60.3
35.0,61.2
31.9,73.6
40.6,70.4
41.9,64.8
43.6,66.5
53.0,63.9
43.1,69.5
38.2,66.7
31.8,59.1
29.8,69.7
39.2,90.2
44.5,68.4
36.8,52.7
29.8,58.2
35.2,67.3
38.0,73.2
31.2,59.5
28.8,58.5
37.8,48.8
43.8,63.3
44.4,88.0
41.1,89.1
42.0,81.6
34.5,76.1
28.6,84.2
25.1,78.8
34.3,83.5
45.9,74.5
50.8,81.0
36.8,77.5
37.5,56.0
34.3,62.0
29.5,57.7
38.9,62.0
43.3,65.2
42.7,77.3
47.4,84.1
34.9,67.4
31.9,67.2
28.0,59.6
22.4,66.7
28.4,70.9
36.0,85.0
39.5,86.5
40.7,88.3
46.4,88.4
46.8,90.2
44.9,86.6
39.1,73.6
34.8,65.7
30.6,69.6
30.0,67.1
36.1,68.2
32.7,62.0
25.8,65.5
30.6,68.7
29.7,86.4
30.5,70.8
29.2,86.2
44.7,66.8
38.3,63.8
40.4,62.8
42.8,72.7
30.5,50.6
20.8,54.3
21.1,76.9
17.6,53.6
20.2,58.9
18.6,73.0
11.9,61.6
15.1,59.0
22.3,66.5
34.6,72.9
36.0,89.0
41.4,87.8
39.1,89.0
38.7,85.1
36.5,87.0
32.6,80.8
30.8,76.1
33.8,80.1
35.3,82.3
36.3,79.2
31.6,57.9
29.3,62.9
29.4,55.8
28.9,59.0
32.4,59.5
36.2,57.6
47.0,51.2
48.1,66.8
41.1,60.2
36.8,61.2
34.7,61.0
27.2,49.2
28.0,48.7
32.8,52.9
27.9,62.8
27.4,51.9
27.5,42.6
24.8,51.6
30.6,57.8
36.6,65.1
38.3,83.5
27.3,60.8
26.2,46.7
42.2,46.2
46.6,63.6
52.6,82.2
26.1,52.5
33.8,50.8
41.9,75.4
47.5,83.0
48.2,75.4
46.8,81.4
47.3,88.5
42.6,79.7
41.7,58.8
40.3,68.9
38.0,75.9
36.1,55.2
45.4,46.3
48.0,54.6
53.5,51.9
46.6,82.0
46.2,66.7
47.2,56.5
37.6,55.9
36.8,52.7
38.1,62.6
27.8,51.1
27.1,42.5
30.2,87.6
27.8,70.5
33.8,65.8
39.9,62.2
43.7,80.7
44.2,73.2
42.0,49.4
43.3,47.9
46.2,47.9
45.3,56.5
42.2,70.8
40.7,78.5
36.1,81.5
38.7,73.6
41.7,66.8
45.7,52.4
48.4,50.8
57.5,44.3
57.0,64.3
54.8,85.0
62.0,77.3
48.0,64.9
47.6,68.2
52.2,64.6
53.6,46.4
52.6,51.9
47.5,75.1
52.2,59.0
51.8,57.6
42.2,53.2
46.2,40.7
52.6,40.1
51.5,53.9
43.2,42.7
48.6,36.3
53.3,42.1
60.1,63.1
59.4,66.8
59.9,70.3
63.7,71.6
65.6,57.4
61.7,60.6
62.4,54.3
52.2,81.9
61.0,65.7
64.1,44.0
63.0,63.2
58.9,61.4
55.4,65.3
57.0,63.4
53.6,71.1
56.6,66.5
69.1,57.6
64.3,80.2
65.0,73.0
65.0,64.9
65.8,62.6
67.8,63.8
71.4,59.7
72.4,69.4
77.3,61.6
72.8,62.1
68.4,53.5
67.0,53.4
73.3,60.6
72.7,74.8
69.2,68.8
66.3,58.7
62.3,50.3
63.2,47.5
68.4,44.4
69.0,51.7
74.8,50.3
74.2,57.5
76.7,57.0
73.1,75.1
66.8,77.1
63.4,68.9
62.3,68.6
61.1,67.2
62.1,69.0
64.4,66.2
70.2,61.4
74.6,59.9
68.7,50.5
65.0,50.5
75.3,61.3
83.3,61.0
83.4,65.4
81.7,68.3
75.9,82.3
75.2,82.3
77.4,80.3
69.7,69.0
74.5,56.7
78.4,48.4
70.0,58.8
65.6,48.2
67.7,73.0
77.2,70.4
69.1,64.3
70.2,61.0
74.7,55.1
76.2,60.8
79.9,76.4
81.9,72.5
79.1,60.9
79.1,61.5
82.9,65.1
84.3,67.2
80.1,67.5
78.4,66.9
81.1,60.6
78.5,57.6
82.7,62.4
79.8,70.7
75.3,80.5
75.1,61.9
71.5,58.2
72.9,65.1
73.2,64.7
74.8,72.2
74.6,76.4
76.0,76.4
74.8,65.2
72.6,53.7
72.8,58.4
74.3,62.6
74.7,71.2
79.5,69.2
78.4,76.8
80.3,66.0
76.4,75.9
77.6,79.9
78.5,78.4
77.4,67.5
69.4,81.7
67.9,74.0
65.4,85.6
72.3,89.9
74.9,64.7
68.1,67.7
65.5,73.6
69.1,69.1
71.1,70.4
71.8,72.6
74.7,69.5
74.5,71.9
71.8,77.8
71.0,82.2
61.2,69.7
61.2,69.1
64.6,64.6
67.5,64.1
69.2,68.0
70.1,72.9
71.7,73.8
72.2,71.9
74.8,70.8
67.2,64.6
69.5,63.7
69.9,72.7
75.2,71.2
66.0,63.5
60.9,61.7
64.4,64.4
66.3,66.2
66.3,67.4
64.3,79.3
57.3,66.6
60.7,70.3
63.2,66.4
61.4,64.5
65.4,70.3
70.4,69.5
70.7,73.0
71.3,72.0
69.4,62.1
65.8,72.2
66.0,78.5
69.6,69.5
67.6,71.2
66.9,68.7
63.7,66.8
62.0,60.9
59.4,67.9
59.7,77.6
62.2,91.3
